Tweet_id,User_id,Text,Label
107688644067856000 ,185389094,"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok",y
102779484725448000 ,297557032,The Bully at School Goes High Tech  Part 1: The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law,n
109034091743154000 ,177913822,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..",n
102533497637437000 ,70412906,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.,y
103679008855691000 ,11363462,"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers",n
107478741424414000 ,360086723,http://t.co/nbBZDxf Please help to stop workplace bullying,n
103471384973418000 ,219025244,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha",n
106840582453870000 ,244569315,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully,n
101324602789208000 ,210803457,don't you get it? This is me getting rid of you. Hahaha #BULLY,y
103502694634889000 ,24170927,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with,n
101884602586636000 ,53301091,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down",n
106150056868061000 ,61120235,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.",n
108219316192817000 ,169260909,"In high school, it's bullying. But in a professional setting, it's harassment.",n
108154819906240000 ,17199808,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact,n
108340745324335000 ,27383561,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL,y
102903555840675000 ,90518694,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start,y
103942171870248000 ,273744352,#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers,n
104940761937743000 ,40004611,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.,n
100689407677440000 ,181218735,"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc (cont) http://deck.ly/~ZN88q",n
101677159214612000 ,322988853,Stop Bullying Ppl Old America,n
100994011858354000 ,235740563,Three bully vans just went past Candace's Lewisham riots are starting again lordddddd,n
109075882429259000 ,15231049,I liked a @YouTube video http://t.co/D8iiUDS Bully Cat Stuffs Cat In Box,n
101508504812138000 ,51431810,"@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*",y
102196835317325000 ,275784822,"@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59",y
104199536133668000 ,1380901,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.",n
107852102461693000 ,114062784,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE",y
100335301150507000 ,126301524,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx,y
100254756332769000 ,108461242,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1",n
108765481514708000 ,285461140,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.",y
100976790876602000 ,87483616,http://t.co/XHtRPSc @planetjedward anti-bullying campaign,n
104075096657891000 ,232599037,@fahimsterr_ assholeeee -_- leave me alone you bully!,y
104826899435491000 ,94912172,Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids,n
108042149437779000 ,181463343,"i SWEAR I HAVE THE SWEETEST BOO IN THE WORLD, WHEN WE NOT BULLYING ME &lt;3",y
103158825590329000 ,86270309,I entered an AMZN 175/165 bull put spread for September. I am looking for 195 to go further long calls.,n
104028556509716000 ,313424053,@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD,y
102456954470932000 ,196318040,@NadiraGandhi rip wat r u threatenin me on tha web u bully,n
104763342576562000 ,274636968,"@YungPaidBlessed , He Used To Bully Yall In The Bathroom , Ll",y
108966853661032000 ,14136089,I favorited a @YouTube video http://t.co/gwAHqri Bully Cat Stuffs Cat In Box,n
102513594234699000 ,228305170,"@vivjones10 haha! They're actually pictures from an anti-bullying campaign, blessem",n
105988452310462000 ,103101931,Join Elise in one hour at her new time.  Todays topic #Cyberbullying vs #Bullying for kids on the spectrum #Autism #ASD  #tck,n
108160516131799000 ,224619837,@Mkaygreene is a bully,y
108149010929434000 ,122826164,cesser l'intimidation - stop bullying.,n
108549768187351000 ,61734729,"i think teuk went to hit someone because someone was bullying donghae? then when they went back, manager-hyun (cont) http://t.co/9OtXplM",n
107258674598256000 ,201036826,My 7 year old cousin is a bully.. I guess theyre starting young..,y
100075342470979000 ,98596937,"Photoset:  hes sensitive, people bully him, too, and he feels lonely and hasnt got anybody to talk to,... http://tumblr.com/xxv3y1zfg7",n
100348064140754000 ,17531739,Documentary about bullying of gays showing at Newbury Park community forum Aug 19th http://bit.ly/qODBSo,n
105946088254619000 ,20151008,@Rannnny_x bully!,y
108658709189754000 ,110786708,"Also, wishing Nick would die from diabetes? THAT'S LOW. And then you claim to be against bullying.. Yeah right!",n
105992776746942000 ,12834972,http://t.co/XzO00sm Stand Up Day (stand up to bullying November 14),n
106800732031815000 ,302116139,America;the bully.,n
108958421558112000 ,20518312,I liked a @YouTube video http://t.co/JSrbRSp Bully Cat Stuffs Cat In Box,n
103053755540447000 ,22076089,"My 6 yo son is being bullied. It's really hard to know what to do. I'm shocked that it happens this early, this young. #canofbullies",y
106027940524998000 ,201245718,#SleepnSync: Make sure that your child is being bullied and not just bothered in a non-recurring way. #Bullying http://ow.ly/6ajMN,n
102433486769627000 ,53593788,@thatcountenance @Lweiting she bully me :(,y
104757138236256000 ,90347854,"U all should whatch this video about bullying, and help take apart in ending it http://t.co/XVsagvI @bellathorne143",n
108974546152996000 ,306973756,@x_alex_taylor_x thats cool. what do you think of Immortal- they're a bunch of bully's arent they?,n
100124868628066000 ,207145027,@LordFIMM @bentleysbird @candida6 I unfollowed AvonSpurs a few days ago as believe he's  a cyber bully & a complete cock. I stand by it.,y
101440356591210000 ,85625386,@TomTheScottish They have too many weak/small players. If they sign a big bully of a striker Drogba/Carroll style then they have a chance.,n
101658757964103000 ,207773364,@JusLick_Kay Quit Bullying Them,y
103257266811187000 ,327761248,"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time.",y
104181309462683000 ,89790939,@jessiejofficial Whos Laughing Now Is A Great Song The Words Describe Me I Always Get Bullied @ Skool Just Like u Was Follow And Tweet Me? 1,y
108765071395655000 ,39955613,"This year's bully target : the shah rukh khan wannabe, @DikFerr muahahaha http://t.co/oWwfWvy",n
100279498263638000 ,22147602,@Waterfalls_Mh bully,n
101490713405038000 ,279702272,@randvalentine seriously lol how ppl tryna bully there ?? Takin lunch money or what,n
106719245764788000 ,280897988,#LISTEN LoCgeeTA - MixTape Bully - http://t.co/ysA8SyL,n
107488254307205000 ,94912172,A common -MYTH- about #Bullying in schools-  ' It's just kids being kids' #education #moms #parents #dads,n
108391635246776000 ,34280840,@lifeofagreat1 gamestop bully,n
103004836852801000 ,267609506,[CL7] Who bully jjongie?!!! *angry* http://t.co/tZTFCbX,y
104310338081660000 ,166190767,""" Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.""",n
108565124180226000 ,193300181,MTV VMAs: Kevin Hart jokes he was bullied to host sans pay [Video]  http://t.co/Ec99gd6,n
100328582508855000 ,160143415,"#DeadpoolSays bullying is wrong, wait, scratch that... Bullying Is FUN!",n
