sexism,572332655397629952,2601524623
none,572341498827522049,110114783
none,572340476503724032,38650214
sexism,572334712804384768,2587278392
none,575949086055997440,230569036
none,572342978255048705,2498963143
sexism,575174115667017728,2746979823
sexism,569294066984202240,2746979823
sexism,538130705382129664,930620467
sexism,489938636956135424,930620467
sexism,574589943982379008,930620467
sexism,537442614534864896,930620467
sexism,502508643204755456,930620467
sexism,574987901747924992,930620467
sexism,502315096052596736,930620467
sexism,446460991396917248,930620467
sexism,572344602469908480,297592019
sexism,571853767047421952,2949949244
sexism,572345440600907777,630236717
sexism,572347385889759232,110114783
none,572346263426875392,465311165
sexism,572320554654425088,27225245
sexism,572344691443687425,2587278392
none,572345326004129792,22436706
sexism,572346235719323648,72971775
sexism,572345137335967744,2949949244
sexism,572321733841063936,389706217
none,572346080911736832,1552538606
none,572344928069500929,191310976
sexism,572347842456522752,2587278392
sexism,568340978861355008,33485745
sexism,572319306387599360,359236505
sexism,572344614910349312,37104990
none,572347419209252865,166873656
sexism,572345016275771392,22999093
sexism,576395841440641024,2746979823
sexism,572345888258981888,26248642
sexism,572348198062170112,30183481
none,572347584339046402,26248642
none,572331686156873728,2987013481
sexism,595166563516329985,27608469
sexism,572332552016437249,1059207842
sexism,572341152348696576,2521781652
sexism,572343516271001601,110114783
sexism,572330495830188032,21167865
none,572339639240929281,2587278392
sexism,572339924571013120,2852877864
sexism,572317842722299904,26452697
none,572338619282694144,1704384571
sexism,572338459932663810,2987669000
sexism,572332558316269569,24825958
none,572343828968943616,929365638
none,572342652907044864,2359256119
sexism,568342285319933952,2851217976
sexism,572339928408965120,319618901
sexism,572341252550627328,630236717
none,572341307584073728,17106461
none,572342944256032768,47297309
sexism,572342059601801216,37389361
sexism,572337046909423617,3018304886
none,572341118118936577,21451979
sexism,572343508306010112,2587278392
sexism,572344011043688448,38771493
none,572340250715930624,404060390
none,572339607829794816,458151092
none,572339081780326400,266723506
sexism,572332376795185152,365105604
sexism,572344114332626944,2587278392
sexism,572334820744830976,38120739
sexism,572344083017936896,110114783
sexism,573423922764365825,1414469732
sexism,572335171862593536,2601524623
none,572340883489615872,333311787
sexism,572318519464865792,247696871
none,572344263389794304,114690575
sexism,572339059613298689,413522813
sexism,572339019238940672,3018304886
none,572336293725642752,25807167
sexism,572339184288980992,36933144
none,572348358968262658,17646796
none,572335493586685953,24791335
sexism,572346123349729280,43830965
sexism,572337330083643392,22346748
none,572339216178270208,25877711
sexism,572338808705847296,433015295
sexism,572338299106291713,53128314
none,572338780671107072,36543033
sexism,572317068969697280,541322446
none,572337676713512960,3041100698
sexism,572319608947912704,17569860
sexism,572336260963938304,885751759
none,572336799340630016,36608957
sexism,572338645950062593,714051386
none,572336047775870976,373317699
sexism,572336851291389952,352723432
sexism,572334859902844929,31069840
sexism,572315829531881473,19898890
none,572338617772740608,141680286
sexism,572331938779799552,261162002
sexism,572336719988588545,1253045544
sexism,572337688734384128,80816781
none,572337337318817792,71952630
none,572336427867885568,36575908
sexism,319399851215433729,949380854
sexism,572337021588414464,43830965
sexism,572339304782962688,43656765
none,572336406053322753,82522377
none,572336451221757953,383446627
none,572337067436351489,929365638
sexism,572337535403180032,3018304886
sexism,572337900366385152,1281732810
none,572338147700293632,3037268654
none,572336241871478786,198789305
none,572336657384407040,2587278392
none,572336970979885056,2587278392
sexism,618367060117098498,2587278392
sexism,572336919733903360,752800226
sexism,461076562830319616,15641984
none,572337676482838528,23568714
sexism,572339334956761088,43830965
sexism,572330821433966592,25257175
none,572337509159452672,1874504276
none,572336280186429440,1916525256
sexism,572334551009128448,338681206
sexism,572333542077698048,2349963877
sexism,572332902421164032,320984413
sexism,572334834556649472,383446627
sexism,572334498064433152,46076472
sexism,572340845652807680,156928816
sexism,572334657972277249,54805470
sexism,572335222194229248,13207852
sexism,572333349378736128,261162002
sexism,572341234267648000,2359256119
sexism,572340788891238402,2359256119
sexism,572334123861200898,26989237
sexism,572335112303472641,714051386
sexism,572334967256031232,29178646
sexism,572333542933307392,29694441
sexism,572333926393389056,22126398
sexism,572340260941664256,338681206
sexism,572335805051613186,297592019
sexism,572334549184602112,590939369
sexism,572340437802860544,2359256119
sexism,572335274866294784,23747654
sexism,572333550906707969,101325044
sexism,572334362538065921,431658017
sexism,572335228624060416,22623059
